trade_date,section,sn,contract,contract_multiplier,direction,qty,aver_cost_price,last_market_price,last_market_value,float_pnl
20240105,TS2,0,TA405,5,1,2,5876.724518,5900.000000,59000.000000,232.754821
20240105,TS2,1,m2405,10,1,4,3348.472222,3205.000000,128200.000000,-5738.888889
20240105,TS2,2,fu2403,10,1,9,3010.727273,3068.000000,276120.000000,5154.545455
20240105,TS2,3,CF405,5,-1,4,15505.833333,15615.000000,312300.000000,-2183.333333
20240105,TS2,4,SA405,20,-1,4,2178.000000,1940.000000,155200.000000,19040.000000
20240105,TS2,5,SR405,10,1,6,6300.428571,6308.000000,378480.000000,454.285714
20240105,TS2,6,OI405,10,-1,3,8065.500000,7833.000000,234990.000000,6975.000000
20240105,TS2,7,eb2402,5,-1,7,8552.571429,8366.000000,292810.000000,6530.000000
20240105,TS2,8,cs2403,10,-1,2,2848.857143,2821.000000,56420.000000,557.142857
20240105,TS2,9,j2405,100,1,1,2520.000000,2450.500000,245050.000000,-6950.000000
20240105,TS2,10,FG405,20,-1,5,1907.900000,1879.000000,187900.000000,2890.000000
20240105,TS2,11,bu2403,10,1,6,3731.100000,3694.000000,221640.000000,-2226.000000
20240105,TS2,12,eg2405,10,-1,9,4542.507937,4682.000000,421380.000000,-12554.285714
20240105,TS2,13,ss2402,5,1,8,13881.250000,13610.000000,544400.000000,-10850.000000
20240105,TS2,14,AP405,10,1,1,8214.800000,8206.000000,82060.000000,-88.000000
20240105,TS2,15,CY405,5,1,1,21235.000000,21905.000000,109525.000000,3350.000000
20240105,TS2,16,c2405,10,-1,4,2422.266667,2395.000000,95800.000000,1090.666667
20240105,TS2,17,RM403,10,-1,4,2791.333333,2711.000000,108440.000000,3213.333333
20240105,TS2,18,ni2402,1,1,3,127676.666667,123540.000000,370620.000000,-12410.000000
20240105,TS2,19,hc2405,10,1,3,4091.333333,4079.000000,122370.000000,-370.000000
20240105,TS2,20,pb2402,5,-1,3,15948.333333,16055.000000,240825.000000,-1600.000000
20240105,TS2,21,sn2402,1,-1,2,212230.000000,207210.000000,414420.000000,10040.000000
20240105,TS2,22,jm2405,60,-1,3,1912.333333,1846.000000,332280.000000,11940.000000
20240105,TS2,23,pp2405,5,1,4,7402.000000,7377.000000,147540.000000,-500.000000
20240105,TS2,24,rb2405,10,-1,7,4026.428571,3979.000000,278530.000000,3320.000000
20240105,TS2,25,zn2402,5,-1,3,21516.666667,21250.000000,318750.000000,4000.000000
20240105,TS2,26,i2405,100,1,4,1003.500000,1000.000000,400000.000000,-1400.000000
20240105,TS2,27,y2405,10,-1,1,7464.000000,7392.000000,73920.000000,720.000000
20240105,TS2,28,MA405,10,1,5,2398.600000,2386.000000,119300.000000,-630.000000
20240105,TS2,29,CJ405,5,-1,2,14772.500000,14400.000000,144000.000000,3725.000000
20240105,TS2,30,al2402,5,1,1,19205.000000,19195.000000,95975.000000,-50.000000
20240105,TS2,31,SF403,5,1,13,6776.769231,6750.000000,438750.000000,-1740.000000
20240105,TS2,32,SM403,5,-1,7,6412.857143,6406.000000,224210.000000,240.000000
20240105,TS2,33,ag2402,15,1,1,5894.000000,5894.000000,88410.000000,0.000000
20240105,TS2,34,l2405,5,1,1,8124.000000,8127.000000,40635.000000,15.000000
20240105,TS2,35,jd2402,10,-1,2,3525.000000,3527.000000,70540.000000,-40.000000
